MSE,RMSE
0.005064011910560338,0.07116187118506889
0.004909112773954194,0.07006506100728233
0.00489064350460384,0.06993313595573875
0.005123639771679121,0.07157960443924737
0.004801567073040625,0.0692933407553758
0.005075615322647397,0.07124335283131611
0.004595580530721753,0.06779071124218829
0.004556324002783194,0.06750054816653858
0.004793451826474515,0.06923475880274672
0.004825195372041932,0.06946362625174367
0.004641183166989154,0.06812622965487783
0.0048876340339240164,0.0699116158726432
0.004883148939554407,0.069879531620886
0.004591267441272825,0.06775889197199748
0.0047605345652813515,0.0689966272022144
0.0047605345652813515,0.0689966272022144
0.0047605345652813515,0.0689966272022144
