index_original,EmpID,LocLat,LocLong
15976,220013,-15.8738714,-48.0448665
22615,220013,-15.8152032,-48.006968
29719,220013,-15.8071478,-47.9652862
25821,607966,-16.0477356,-48.0387767
8202,607966,-16.0478263,-48.0388197
25822,607966,-16.0477356,-48.0387767
10738,607966,-16.0476815,-48.0386184
25823,607966,-16.0477356,-48.0387767
25824,607966,-16.0477356,-48.0387767
25825,607966,-16.0477356,-48.0387767
25826,607966,-16.0477356,-48.0387767
25828,607966,-16.0477356,-48.0387767
8208,607966,-16.0478263,-48.0388197
8209,607966,-16.0478263,-48.0388197
25834,607966,-16.0477356,-48.0387767
9607,717634,-15.8702478,-47.9729031
15896,717634,-15.8738714,-48.0448665
12026,717634,-15.8763091,-47.9941713
15700,1068100,-15.8153513,-47.8985343
24459,1068100,-15.8059175,-47.8892594
24958,1068100,-15.7607633,-47.7946918
5426,1068100,-15.7897283,-47.9820045
26968,1068100,-15.76065,-47.7943667
23244,1068100,-15.8342188,-47.8165677
24460,1068100,-15.8059175,-47.8892594
22344,1068100,-15.8333516,-47.8948138
4610,2135112,-15.8460745,-48.1009367
12817,2135112,-15.9169426,-48.0494299
22176,2135112,-15.9724151,-48.0146027
20794,2667538,-15.8180466,-47.8056705
20796,2667538,-15.8180466,-47.8056705
20798,2667538,-15.8180466,-47.8056705
19840,2667538,-15.7942309,-47.9597556
11693,2817861,-15.8153513,-47.8985343
11692,2817861,-15.8153513,-47.8985343
18640,2817861,-15.815221,-47.8985703
18639,2817861,-15.815221,-47.8985703
9717,2817861,-15.8702478,-47.9729031
9716,2817861,-15.8702478,-47.9729031
13434,3005295,-15.8106874,-47.943198
22689,3005295,-16.0127857,-48.023899
21430,3005295,-15.8112131,-47.9962574
13438,3005295,-15.8106874,-47.943198
3874,3005295,-15.8112131,-47.9962574
13440,3005295,-15.8106874,-47.943198
3579,3005295,-15.7428244,-47.9189426
17536,3005295,-15.7428244,-47.9189426
2167,3005295,-15.8333516,-47.8948138
9583,3005295,-15.8246596,-48.0262022
25153,3005295,-15.8673712,-47.821451
15504,3005295,-15.8110575,-47.9956474
22168,3005295,-15.9724151,-48.0146027
21436,3005295,-15.8112131,-47.9962574
17954,3005295,-15.8152032,-48.006968
25851,3005295,-16.0477356,-48.0387767
3583,3005295,-15.7428244,-47.9189426
8717,3040176,-15.7865333,-48.0058583
5307,3040176,-15.7897283,-47.9820045
11092,3040176,-15.7928108,-47.9557645
20711,3040176,-15.844194,-47.9537665
4836,3040176,-15.8717801,-47.9580457
15771,3040176,-15.8639847,-47.9607236
5643,3040176,-15.8681971,-47.9577999
4837,3040176,-15.8717801,-47.9580457
5645,3040176,-15.8681971,-47.9577999
11437,3040176,-15.8441897,-47.9537954
5646,3040176,-15.8681971,-47.9577999
4839,3040176,-15.8717801,-47.9580457
4840,3040176,-15.8717801,-47.9580457
4843,3040176,-15.8717801,-47.9580457
15773,3040176,-15.8639847,-47.9607236
16235,3040176,-15.8639847,-47.9607236
5647,3040176,-15.8681971,-47.9577999
11906,3040176,-15.8717801,-47.9580457
15774,3040176,-15.8639847,-47.9607236
5649,3040176,-15.8681971,-47.9577999
5616,3040176,-15.8673924,-47.9669178
5651,3040176,-15.8681971,-47.9577999
16238,3040176,-15.8639847,-47.9607236
4846,3040176,-15.8717801,-47.9580457
4848,3040176,-15.8717801,-47.9580457
5617,3040176,-15.8673924,-47.9669178
5657,3040176,-15.8681971,-47.9577999
4849,3040176,-15.8717801,-47.9580457
4588,3265595,-15.8460745,-48.1009367
14657,3265595,-15.8533333,-48.0397667
24668,3265595,-15.8129906,-47.9835981
3681,3265595,-15.8093497,-47.9742082
24600,3265595,-15.8152032,-48.006968
32452,3270506,-15.8827064,-48.0539728
9492,3270506,-15.8774187,-48.0039807
21910,3270506,-15.8673924,-47.9669178
207,3270506,-15.8441897,-47.9537954
31254,3270506,-15.8110002,-47.9399853
17344,3270506,-15.8093497,-47.9742082
7447,3350781,-15.6026086,-47.672787
7448,3350781,-15.6026086,-47.672787
12786,3350781,-15.9169426,-48.0494299
8747,3370663,-15.7865333,-48.0058583
2888,3370663,-15.7889619,-47.9840814
10007,3370663,-15.8106874,-47.943198
17326,3370663,-15.8093497,-47.9742082
23830,3370663,-15.8152032,-48.006968
23632,3432519,-15.9754306,-48.0111139
12685,3432519,-15.9169426,-48.0494299
21010,3432519,-15.9459331,-47.9964801
10955,3432519,-15.8754694,-47.9840083
15989,3432519,-15.8764694,-47.9943944
14299,3432519,-15.9840555,-48.0409819
3923,3432519,-15.9414808,-47.9878207
6243,3432519,-15.9117427,-47.9678806
12883,3432519,-15.8852234,-47.9602746
11580,3432519,-15.8153513,-47.8985343
6621,3432519,-15.8059857,-47.889158
18527,3432519,-15.815221,-47.8985703
16433,3432519,-15.9118156,-47.9679832
4281,3432519,-15.9608738,-48.0150809
21011,3432519,-15.9459331,-47.9964801
3924,3432519,-15.9414808,-47.9878207
18933,3432519,-15.9117427,-47.9678806
12884,3432519,-15.8852234,-47.9602746
13037,3432519,-15.8472139,-47.9542028
23492,3432519,-15.7983717,-47.9139743
19154,3671962,-15.9175049,-48.0491876
29210,3671962,-15.8926094,-47.9615428
12916,3671962,-15.8852234,-47.9602746
23785,3671962,-15.8382262,-47.9610681
7203,3671962,-15.8681971,-47.9577999
9346,3671962,-15.8852234,-47.9602746
16617,3671962,-15.9414808,-47.9878207
5828,3989657,-15.9414808,-47.9878207
6291,3989657,-15.9117427,-47.9678806
5998,3989657,-15.8926094,-47.9615428
2044,3989657,-15.8852234,-47.9602746
11939,3989657,-15.8717801,-47.9580457
14449,3989657,-15.7670094,-47.9138077
25867,4239053,-16.0477356,-48.0387767
18822,4239053,-15.8528601,-47.9326156
10117,4239053,-15.6778337,-47.8464603
23845,4239053,-15.8152032,-48.006968
25618,4239053,-15.8380129,-47.9617176
5117,4239053,-15.8852234,-47.9602746
11132,4239053,-15.7928108,-47.9557645
10118,4239053,-15.6778337,-47.8464603
10119,4239053,-15.6778337,-47.8464603
25578,4239053,-15.7862246,-48.0005803
7936,4239053,-15.9840555,-48.0409819
15951,4239053,-15.8738714,-48.0448665
22235,4239053,-15.8739994,-47.8227909
7937,4239053,-15.9840555,-48.0409819
4799,4239053,-15.8081493,-47.9601984
9368,4239053,-15.8852234,-47.9602746
10456,4239053,-15.8690028,-47.9473194
11742,4239053,-15.6772806,-47.8456972
25871,4239053,-16.0477356,-48.0387767
31476,4239053,-15.8593901,-47.9358514
29224,4239053,-15.8926094,-47.9615428
25872,4239053,-16.0477356,-48.0387767
25873,4239053,-16.0477356,-48.0387767
22179,4239053,-15.9724151,-48.0146027
11135,4239053,-15.7928108,-47.9557645
25580,4239053,-15.7862246,-48.0005803
14689,4239053,-15.8533333,-48.0397667
14386,4239053,-15.9840555,-48.0409819
14521,4239053,-15.8178466,-48.0577542
17047,4239053,-16.01053,-48.0303956
30882,4239053,-15.7814839,-47.8804885
8763,4239053,-15.7865333,-48.0058583
17983,4239053,-15.8152032,-48.006968
13205,4317846,-15.8764139,-47.9886444
14698,4317846,-15.8533333,-48.0397667
4992,4317846,-15.8679153,-47.821494
26497,4317846,-15.8339549,-47.8952556
19314,4431529,-15.94845,-48.0009111
739,4431529,-15.830343,-48.0511914
19315,4431529,-15.94845,-48.0009111
7111,4431529,-15.830343,-48.0511914
22141,4431529,-15.9138306,-47.9691306
19316,4431529,-15.94845,-48.0009111
19791,4431529,-15.8152032,-48.006968
19317,4431529,-15.94845,-48.0009111
20822,4431529,-15.8180466,-47.8056705
6982,4431529,-15.815221,-47.8985703
19318,4431529,-15.94845,-48.0009111
6984,4431529,-15.815221,-47.8985703
22143,4431529,-15.9138306,-47.9691306
19319,4431529,-15.94845,-48.0009111
9428,4747778,-15.8774187,-48.0039807
7969,4747778,-15.8725667,-47.9768222
21854,4747778,-15.8673924,-47.9669178
11439,4747778,-15.8441897,-47.9537954
22743,4747778,-15.7433972,-47.9194944
1879,4747778,-15.7008974,-47.8843263
20719,4747778,-15.844194,-47.9537665
10904,4747778,-15.8643056,-47.9615556
32674,4747778,-15.8701082,-47.9728734
11989,4747778,-15.8736703,-48.0446668
10987,4747778,-15.8754694,-47.9840083
12059,4747778,-15.8763091,-47.9941713
12240,4747778,-15.8770397,-48.0194308
138,4747778,-15.8441897,-47.9537954
1880,4747778,-15.7008974,-47.8843263
21096,5364469,-15.9327232,-48.2142493
21097,5364469,-15.9327232,-48.2142493
21098,5364469,-15.9327232,-48.2142493
21099,5364469,-15.9327232,-48.2142493
21100,5364469,-15.9327232,-48.2142493
21101,5364469,-15.9327232,-48.2142493
9507,5364469,-15.8774187,-48.0039807
22504,5364469,-15.8106874,-47.943198
23851,5364469,-15.8152032,-48.006968
2445,5364469,-15.8219316,-48.0219854
21102,5364469,-15.9327232,-48.2142493
21103,5364469,-15.9327232,-48.2142493
4896,5753479,-15.8717801,-47.9580457
16426,5753479,-15.8470563,-47.9545708
11389,5753479,-15.8436945,-47.9430276
9031,6390188,-15.9414808,-47.9878207
6285,6390188,-15.9117427,-47.9678806
21131,6390188,-15.9028252,-47.9634043
29211,6390188,-15.8926094,-47.9615428
12918,6390188,-15.8852234,-47.9602746
11926,6390188,-15.8717801,-47.9580457
13091,6390188,-15.8472139,-47.9542028
3577,6390188,-15.7428244,-47.9189426
15,6390188,-15.7450616,-47.850045
19068,6390188,-15.7221229,-47.8842649
18711,6390188,-15.7225159,-47.8911768
20986,6390188,-15.7525574,-47.8871924
6667,6390188,-15.8059857,-47.889158
6960,6390188,-15.815221,-47.8985703
29999,6390188,-15.8668933,-47.9442845
21773,6390188,-15.9414808,-47.9878207
10285,6390188,-15.976131,-48.010301
1039,6390188,-15.916636,-48.0491876
22167,6390188,-15.9724151,-48.0146027
21134,6390188,-15.9028252,-47.9634043
12919,6390188,-15.8852234,-47.9602746
1266,6390188,-15.8681214,-47.9458794
31140,6390188,-15.8852234,-47.9602746
16473,6390188,-15.9118156,-47.9679832
30079,6415501,-16.0052,-48.0535
30082,6415501,-16.0052,-48.0535
7591,6415501,-15.9846658,-48.0411666
21017,6415501,-15.9459331,-47.9964801
26183,6415501,-15.8926094,-47.9615428
11892,6415501,-15.8717801,-47.9580457
109,6415501,-15.8441897,-47.9537954
22385,6415501,-15.8106874,-47.943198
30083,6415501,-16.0052,-48.0535
7159,6415501,-15.8681971,-47.9577999
26808,6415501,-15.9414808,-47.9878207
4288,6415501,-15.9608738,-48.0150809
7862,6415501,-15.9840555,-48.0409819
29786,7000925,-15.8252523,-48.0092145
13713,7000925,-15.847393,-47.9994429
21218,7000925,-15.8761634,-48.0279113
22885,7000925,-15.822885,-48.0104391
6750,7000925,-15.8034833,-48.0012933
29789,7000925,-15.8252523,-48.0092145
20684,7000925,-15.847393,-47.9994429
12369,7000925,-15.8770397,-48.0194308
20685,7000925,-15.847393,-47.9994429
22717,7498663,-16.0146,-48.0059
31061,7498663,-15.8749813,-47.8231033
28059,7498663,-15.8593379,-47.8704396
29978,7498663,-15.8668933,-47.9442845
21720,7498663,-15.9414808,-47.9878207
22667,7498663,-16.0127857,-48.023899
13115,8194478,-15.8472139,-47.9542028
16304,8194478,-15.8639847,-47.9607236
5624,8194478,-15.8673924,-47.9669178
26085,8194478,-15.8762252,-47.9855209
28598,8194478,-15.7963928,-47.8533981
31446,8194478,-15.7525574,-47.8871924
26406,8194478,-15.8303011,-47.8770416
18994,8194478,-15.9117427,-47.9678806
20743,8194478,-15.844194,-47.9537665
28599,8194478,-15.7963928,-47.8533981
12338,8194478,-15.8770397,-48.0194308
30125,8194478,-15.8577876,-47.9250889
5533,8194478,-15.8774187,-48.0039807
12493,8194478,-15.8447582,-47.9393399
9471,8194478,-15.8774187,-48.0039807
5597,8194478,-15.8747083,-47.9798987
9053,8194478,-15.9414808,-47.9878207
6299,8194478,-15.9117427,-47.9678806
9685,8194478,-15.8702478,-47.9729031
26409,8194478,-15.8303011,-47.8770416
23007,8194478,-15.9846658,-48.0411666
7983,8194478,-15.8725667,-47.9768222
16793,8194478,-15.8705285,-47.9731278
14687,8194478,-15.8533333,-48.0397667
4256,8194478,-15.8460745,-48.1009367
12494,8194478,-15.8447582,-47.9393399
5598,8194478,-15.8747083,-47.9798987
9054,8194478,-15.9414808,-47.9878207
6300,8194478,-15.9117427,-47.9678806
10027,8194478,-15.8106874,-47.943198
26087,8194478,-15.8762252,-47.9855209
9055,8194478,-15.9414808,-47.9878207
18997,8194478,-15.9117427,-47.9678806
4796,8194478,-15.8081493,-47.9601984
15862,8194478,-15.8639847,-47.9607236
12109,8194478,-15.8763091,-47.9941713
12346,8194478,-15.8770397,-48.0194308
26089,8194478,-15.8762252,-47.9855209
6301,8194478,-15.9117427,-47.9678806
11345,8194478,-15.8436945,-47.9430276
12495,8194478,-15.8447582,-47.9393399
15864,8194478,-15.8639847,-47.9607236
23248,8194478,-15.8342188,-47.8165677
7984,8194478,-15.8725667,-47.9768222
4175,8194478,-15.8702478,-47.9729031
27265,8194478,-15.8081493,-47.9601984
12347,8194478,-15.8770397,-48.0194308
408,8194478,-15.8203682,-48.0568548
22579,8194478,-15.8152032,-48.006968
6114,8194478,-15.8702806,-47.9579722
7569,8194478,-15.822885,-48.0104391
5199,8194478,-15.8071478,-47.9652862
6117,8194478,-15.8702806,-47.9579722
16314,8194478,-15.8639847,-47.9607236
10028,8194478,-15.8106874,-47.943198
22580,8194478,-15.8152032,-48.006968
12352,8194478,-15.8770397,-48.0194308
17158,8194478,-15.7731329,-47.9100067
4883,8194478,-15.8717801,-47.9580457
28258,8194478,-15.842643,-47.9164156
23105,8194478,-15.8382262,-47.9610681
5601,8194478,-15.8747083,-47.9798987
12354,8194478,-15.8770397,-48.0194308
22581,8194478,-15.8152032,-48.006968
8408,8194478,-15.7338546,-47.8641942
8409,8194478,-15.7338546,-47.8641942
25460,8194478,-15.7224193,-47.8907308
30129,8194478,-15.8577876,-47.9250889
6305,8194478,-15.9117427,-47.9678806
5626,8194478,-15.8673924,-47.9669178
8410,8194478,-15.7338546,-47.8641942
9689,8194478,-15.8702478,-47.9729031
9056,8194478,-15.9414808,-47.9878207
6306,8194478,-15.9117427,-47.9678806
14021,8194478,-15.7963928,-47.8533981
22584,8194478,-15.8152032,-48.006968
6487,8194478,-15.8687583,-47.9579389
26865,8194478,-15.9414808,-47.9878207
